0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from [::1]:62461: remote error: tls: bad certificate
2021/08/08 18:47:46.133  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:46] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.003536  Go-http-client/1.1
2021/08/08 18:47:56.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:56] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001273  Go-http-client/1.1
2021/08/08 18:47:56.131  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:47:56] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.005034  Go-http-client/1.1
2021/08/08 18:48:06.126  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:06] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001340  Go-http-client/1.1
2021/08/08 18:48:06.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:06] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000855  Go-http-client/1.1
2021/08/08 18:48:16.127  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:16] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.001750  Go-http-client/1.1
2021/08/08 18:48:16.128  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:16] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.002893  Go-http-client/1.1
2021/08/08 18:48:26.135  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:26] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.011083  Go-http-client/1.1
2021/08/08 18:48:26.140  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:26] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.004802  Go-http-client/1.1
2021/08/08 18:48:36.129  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:36] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.003608  Go-http-client/1.1
2021/08/08 18:48:36.130  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:48:36] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.004736  Go-http-client/1.1
